species,motility,tiering,feeding,size
Ammonite_3,motile_slow,pelagic,predator,large
Ammonite_2,motile_slow,pelagic,predator,medium
Ammonite_1,motile_slow,pelagic,predator,small
Belemnite_1,motile_fast,pelagic,predator,large
Belemnite_2,motile_fast,pelagic,predator,very_large
Bivalve_8,facultative_unattached,infaunal,suspension,medium
Bivalve_14,facultative_unattached,infaunal,suspension,small
Brachiopod_2,facultative_unattached,infaunal,suspension,small
Fish_1,motile_fast,pelagic,predator,large
mock,nonmotile_attached,semi_infaunal,producer,small
